Model,Brand,Variant,Manufacturing_year,Driven_km,Fuel_type,Transmission,Selling_Price,location
['Eeco'],['Maruti'],5 Seater AC BSIV,2016,45347,Petrol,Manual,3.81,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2020,19627,Petrol,Manual,4.7,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2012,57341,Petrol,Manual,2.79,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2020,17116,Petrol,Manual,4.72,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC BSIV,2019,14161,Petrol,Manual,4.57,Ahmedabad
['S-Presso'],['Maruti'],VXI,2019,24230,Petrol,Manual,4.22,Ahmedabad
['Baleno'],['Maruti'],Delta,2017,34669,Petrol,Manual,5.36,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2017,88362,Petrol,Manual,3.97,Ahmedabad
['Swift'],['Maruti'],VDI,2018,31694,Diesel,Manual,5.85,Ahmedabad
['Ecosport'],['Ford'],1.5 TDCi Trend BSIV,2016,42029,Diesel,Manual,5.89,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2015,54419,Diesel,Manual,4.91,Ahmedabad
['Swift'],['Maruti'],VXI,2019,21060,Petrol,Manual,6,Ahmedabad
"['Wagon', 'R']",['Maruti'],VXI,2014,42381,Petrol,Manual,3.29,Ahmedabad
['Swift'],['Maruti'],ZDi,2013,72301,Diesel,Manual,3.99,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2015,48570,Diesel,Manual,4.86,Ahmedabad
['Swift'],['Maruti'],LDI BSIV,2014,100821,Diesel,Manual,3.04,Ahmedabad
['Xylo'],['Mahindra'],E8,2011,161779,Diesel,Manual,1.41,Ahmedabad
['Swift'],['Maruti'],VDI BSIV,2014,72558,Diesel,Manual,3.82,Ahmedabad
['Q3'],['Audi'],2.0 TDI,2014,118419,Diesel,Automatic,11,Ahmedabad
['Innova'],['Toyota'],2.5 GX (Diesel) 8 Seater,2012,147234,Diesel,Manual,5.67,Ahmedabad
['Vento'],['Volkswagen'],1.5 TDI Highline,2018,97922,Diesel,Manual,7.11,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VXI 1.2,2019,11935,Petrol,Manual,6.95,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2012,80084,Diesel,Manual,3.4,Ahmedabad
['Amaze'],['Honda'],S Option i-VTEC,2017,59642,Petrol,Manual,5.01,Ahmedabad
"['Wagon', 'R']",['Maruti'],VXI,2014,131125,Petrol,Manual,2.94,Ahmedabad
"['Wagon', 'R']",['Maruti'],LXI,2020,10371,Petrol,Manual,5.07,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VXI 1.2,2019,9303,Petrol,Manual,6.84,Ahmedabad
"['Wagon', 'R']",['Maruti'],VXI Plus,2017,43031,Petrol,Manual,3.87,Ahmedabad
['Innova'],['Toyota'],2.5 VX (Diesel) 8 Seater,2013,94754,Diesel,Manual,6.7,Ahmedabad
"['Wagon', 'R']",['Maruti'],AMT VXI,2017,41174,Petrol,Automatic,4.3,Ahmedabad
"['Wagon', 'R']",['Maruti'],LXI BS IV,2013,85416,Petrol,Manual,2.8,Ahmedabad
['Terrano'],['Nissan'],XL Plus 85 PS,2016,74431,Diesel,Manual,4.7,Ahmedabad
['Baleno'],['Maruti'],Alpha,2017,49072,Petrol,Manual,6.1,Ahmedabad
"['Wagon', 'R']",['Maruti'],LXI BS IV,2011,60689,Petrol,Manual,2.67,Ahmedabad
['Swift'],['Maruti'],VXI Optional,2016,45090,Petrol,Manual,4.64,Ahmedabad
['Baleno'],['Maruti'],1.2 Delta,2016,51069,Petrol,Manual,4.82,Ahmedabad
['Verna'],['Hyundai'],1.6 SX CRDi (O),2014,65484,Diesel,Manual,5.43,Ahmedabad
['City'],['Honda'],i-VTEC V,2018,89144,Petrol,Manual,7.64,Ahmedabad
"['Grand', 'i10']",['Hyundai'],Asta,2015,73875,Petrol,Manual,4.8,Ahmedabad
"['Alto', 'K10']",['Maruti'],LXI,2012,89579,Petrol,Manual,1.77,Ahmedabad
['Verna'],['Hyundai'],1.6 SX CRDi (O),2014,65484,Diesel,Manual,5.43,Ahmedabad
['City'],['Honda'],i-VTEC V,2018,89144,Petrol,Manual,7.64,Ahmedabad
"['Grand', 'i10']",['Hyundai'],Asta,2015,73875,Petrol,Manual,4.8,Ahmedabad
"['Santa', 'Fe']",['Hyundai'],2WD AT,2014,78000,Diesel,Automatic,12.51,Ahmedabad
['Verna'],['Hyundai'],VTVT 1.6 AT SX Plus,2019,11900,Petrol,Automatic,11.35,Ahmedabad
['Endeavour'],['Ford'],3.2 Titanium AT 4X4,2017,73000,Diesel,Automatic,27.5,Ahmedabad
['Creta'],['Hyundai'],1.6 CRDi AT SX Plus,2015,95106,Diesel,Automatic,9,Ahmedabad
['Brio'],['Honda'],S MT,2012,44721,Petrol,Manual,3.45,Ahmedabad
['Accord'],['Honda'],2.4 MT,2008,85341,Petrol,Manual,3,Ahmedabad
['Ecosport'],['Ford'],1.5 Diesel Titanium BSIV,2018,19376,Diesel,Manual,9.25,Ahmedabad
['City'],['Honda'],i DTec V,2017,47638,Diesel,Manual,8.5,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],LDI Optional,2016,66000,Diesel,Manual,4.85,Ahmedabad
['A4'],['Audi'],2.0 TDI 177 Bhp Premium Plus,2014,74000,Diesel,Automatic,15.51,Ahmedabad
['Ecosport'],['Ford'],1.5 TDCi Titanium BSIV,2016,51000,Diesel,Manual,7.5,Ahmedabad
"['Wagon', 'R']",['Maruti'],LXI Minor,2009,58000,Petrol,Manual,1.8,Ahmedabad
['E-Class'],['Mercedes-Benz'],E250 CDI Avantgarde,2016,48000,Diesel,Automatic,26.51,Ahmedabad
['Passat'],['Volkswagen'],1.8 TSI MT,2010,65329,Petrol,Manual,5.25,Ahmedabad
['Seltos'],['Kia'],HTX Plus AT D,2019,34000,Diesel,Automatic,13.5,Ahmedabad
['Elantra'],['Hyundai'],CRDi SX AT,2014,65221,Diesel,Automatic,5.75,Ahmedabad
"['Grand', 'i10']",['Hyundai'],Sportz,2014,31403,Petrol,Manual,4.65,Ahmedabad
['Endeavour'],['Ford'],2.2 Titanium AT 4X2 Sunroof,2018,46000,Diesel,Automatic,25,Ahmedabad
['Mobilio'],['Honda'],S i-DTEC,2015,41665,Diesel,Manual,5.35,Ahmedabad
['XUV500'],['Mahindra'],W6 1.99 mHawk,2015,74000,Diesel,Manual,6.5,Ahmedabad
['City'],['Honda'],i-DTEC VX,2017,72000,Diesel,Manual,9.25,Ahmedabad
['XUV500'],['Mahindra'],W10 2WD,2016,61000,Diesel,Manual,11,Ahmedabad
['City'],['Honda'],V CVT,2019,28707,Petrol,Automatic,10.5,Ahmedabad
['Q3'],['Audi'],35 TDI Quattro Premium,2014,71003,Diesel,Automatic,16.5,Ahmedabad
"['Vitara', 'Brezza']",['Maruti'],ZDi Plus,2016,45000,Diesel,Manual,7.5,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],AMT ZDI Plus,2017,43000,Diesel,Automatic,6.75,Ahmedabad
['Vento'],['Volkswagen'],Diesel Comfortline,2012,55000,Diesel,Manual,3.3,Ahmedabad
['Seltos'],['Kia'],HTX Plus AT D,2019,35000,Diesel,Automatic,15.75,Ahmedabad
['Swift'],['Maruti'],Ldi BSIII,2008,65000,Diesel,Manual,2.25,Ahmedabad
['City'],['Honda'],1.5 GXI,2004,90815,Petrol,Manual,1.65,Ahmedabad
['i20'],['Hyundai'],Magna 1.4 CRDi,2017,52000,Diesel,Manual,5.75,Ahmedabad
['Jetta'],['Volkswagen'],2.0L TDI Comfortline,2012,87000,Diesel,Manual,4.25,Ahmedabad
"['GLE', 'Class']",['Mercedes-Benz'],350d,2017,62000,Diesel,Automatic,48,Ahmedabad
"['Innova', 'Crysta']",['Toyota'],2.4 VX MT 8 STR,2018,75000,Diesel,Manual,18.5,Ahmedabad
"['Grand', 'i10']",['Hyundai'],Sportz,2019,49000,Petrol,Manual,5.75,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDi,2017,20634,Diesel,Manual,6.49,Ahmedabad
['Verna'],['Hyundai'],1.6 SX CRDi (O),2015,64000,Diesel,Manual,6.49,Ahmedabad
['RediGO'],['Datsun'],AMT 1.0 T Option,2018,11000,Petrol,Automatic,4.25,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2014,41000,Diesel,Manual,4.75,Ahmedabad
['Verna'],['Hyundai'],CRDi 1.6 SX,2017,54000,Diesel,Manual,7,Ahmedabad
['Baleno'],['Maruti'],Alpha,2018,28000,Petrol,Manual,7,Ahmedabad
['Xcent'],['Hyundai'],1.2 CRDi SX,2016,19000,Diesel,Manual,5.75,Ahmedabad
['A4'],['Audi'],35 TDI Premium Plus,2018,14667,Diesel,Automatic,32,Ahmedabad
['Ertiga'],['Maruti'],SHVS VDI,2016,42000,Diesel,Manual,7.4,Ahmedabad
['Vento'],['Volkswagen'],Petrol Highline,2011,55417,Petrol,Manual,3.75,Ahmedabad
['Baleno'],['Maruti'],Alpha,2016,88500,Petrol,Manual,5.65,Ahmedabad
['Ecosport'],['Ford'],1.5 Diesel Titanium BSIV,2018,50000,Diesel,Manual,8.25,Ahmedabad
['Innova'],['Toyota'],2.5 G (Diesel) 8 Seater,2013,72000,Diesel,Manual,5.25,Ahmedabad
"['KUV', '100']",['Mahindra'],mFALCON D75 K6,2016,55663,Diesel,Manual,2.79,Ahmedabad
['Etios'],['Toyota'],GD,2013,98070,Diesel,Manual,3.52,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2015,48570,Diesel,Manual,4.86,Ahmedabad
['Swift'],['Maruti'],AMT VDI,2018,37383,Diesel,Automatic,5.9,Ahmedabad
['Ciaz'],['Maruti'],VDi Plus,2015,65243,Diesel,Manual,5.25,Ahmedabad
"['SX4', 'S', 'Cross']",['Maruti'],DDiS 320 Delta,2015,60428,Diesel,Manual,6.5,Ahmedabad
['i10'],['Hyundai'],Era,2011,76385,Petrol,Manual,2.75,Ahmedabad
['M-Class'],['Mercedes-Benz'],ML 250 CDI,2015,60000,Diesel,Automatic,30,Ahmedabad
['Creta'],['Hyundai'],1.6 SX Automatic Diesel,2018,81800,Diesel,Automatic,13.25,Ahmedabad
"['Grand', 'i10']",['Hyundai'],1.2 CRDi Magna,2018,41000,Diesel,Manual,5.15,Ahmedabad
['Ecosport'],['Ford'],1.5 TDCi Titanium Plus BSIV,2016,74000,Diesel,Manual,7.25,Ahmedabad
"['New', 'C-Class']",['Mercedes-Benz'],C 200 CGI Elegance,2010,85000,Petrol,Automatic,8.5,Ahmedabad
['Jazz'],['Honda'],VX CVT,2018,28000,Petrol,Automatic,8.25,Ahmedabad
['Harrier'],['Tata'],XZA Plus AT,2020,11000,Diesel,Automatic,19.9,Ahmedabad
['Duster'],['Renault'],110PS Diesel RxL,2014,89000,Diesel,Manual,5.25,Ahmedabad
['Polo'],['Volkswagen'],1.0 MPI Highline Plus,2019,38500,Petrol,Manual,6.9,Ahmedabad
"['Grand', 'i10']",['Hyundai'],CRDi Asta Option,2014,76900,Diesel,Manual,4.5,Ahmedabad
['Ecosport'],['Ford'],1.5 Diesel Ambiente BSIV,2017,72000,Diesel,Manual,6.75,Ahmedabad
['Creta'],['Hyundai'],1.4 E Plus,2018,57000,Diesel,Manual,9.75,Ahmedabad
['Evalia'],['Nissan'],XL,2015,55000,Diesel,Manual,4.9,Ahmedabad
"['Vitara', 'Brezza']",['Maruti'],VDi Option,2018,55900,Diesel,Manual,8.15,Ahmedabad
['Etios'],['Toyota'],VD,2012,95000,Diesel,Manual,3.9,Ahmedabad
"['Etios', 'Liva']",['Toyota'],GD,2013,38000,Diesel,Manual,4.25,Ahmedabad
['Creta'],['Hyundai'],SX Opt Diesel,2020,6700,Diesel,Manual,16.9,Ahmedabad
['Thar'],['Mahindra'],DI 4X4,2016,40000,Diesel,Manual,7.5,Ahmedabad
['Verna'],['Hyundai'],VTVT 1.6 SX Option,2020,2500,Petrol,Manual,12.35,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC,2010,24000,Petrol,Manual,2.9,Ahmedabad
['Kodiaq'],['Skoda'],2.0 TDI Style,2017,100000,Diesel,Automatic,25.5,Ahmedabad
['i20'],['Hyundai'],Magna Optional 1.4 CRDi,2013,65000,Diesel,Manual,3.85,Ahmedabad
"['Innova', 'Crysta']",['Toyota'],2.8 GX AT BSIV,2016,72000,Diesel,Automatic,16.5,Ahmedabad
['Q5'],['Audi'],2.0 TDI,2013,91000,Diesel,Automatic,18.5,Ahmedabad
"['Vitara', 'Brezza']",['Maruti'],ZDi Plus AMT,2019,26000,Diesel,Automatic,10.25,Ahmedabad
"['5', 'Series']",['BMW'],520d Sedan,2013,100000,Diesel,Automatic,18.5,Ahmedabad
['Verna'],['Hyundai'],1.6 SX,2013,77000,Diesel,Manual,5.5,Ahmedabad
"['SX4', 'S', 'Cross']",['Maruti'],DDiS 200 Alpha,2015,57000,Diesel,Manual,6.75,Ahmedabad
['Ecosport'],['Ford'],1.5 Diesel Titanium BSIV,2017,57000,Diesel,Manual,7.25,Ahmedabad
['Alto'],['Maruti'],LXi,2012,66000,Petrol,Manual,2.1,Ahmedabad
['Swift'],['Maruti'],VDI,2013,74000,Diesel,Manual,4.15,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC BSIV,2017,87000,Petrol,Manual,4.15,Ahmedabad
"['Grand', 'i10']",['Hyundai'],Asta Option AT,2016,63000,Petrol,Automatic,5.5,Ahmedabad
"['Wagon', 'R']",['Maruti'],VXI AMT,2018,23000,Petrol,Automatic,5.15,Ahmedabad
['Brio'],['Honda'],S MT,2013,34001,Petrol,Manual,3.65,Ahmedabad
['Octavia'],['Skoda'],1.8 TSI AT L K,2018,21000,Petrol,Automatic,19.75,Ahmedabad
['E-Class'],['Mercedes-Benz'],E 350d,2019,16000,Diesel,Automatic,62,Ahmedabad
"['Grand', 'i10']",['Hyundai'],Sportz 1.2,2009,65000,Petrol,Manual,2.25,Ahmedabad
['Creta'],['Hyundai'],1.6 CRDi SX Option,2016,73000,Diesel,Manual,9.75,Ahmedabad
['XUV500'],['Mahindra'],W6 2WD,2016,65000,Diesel,Manual,8.5,Ahmedabad
['Swift'],['Maruti'],VDI,2015,82486,Diesel,Manual,4.9,Ahmedabad
['KWID'],['Renault'],AMT,2017,68300,Petrol,Automatic,2.95,Ahmedabad
"['Santa', 'Fe']",['Hyundai'],4X2,2011,57000,Diesel,Manual,6.99,Ahmedabad
['Creta'],['Hyundai'],1.6 CRDi AT S Plus,2017,45000,Diesel,Automatic,10.75,Ahmedabad
"['GO', 'Plus']",['Datsun'],T,2018,16000,Petrol,Manual,6.5,Ahmedabad
['Jetta'],['Volkswagen'],2.0L TDI Highline AT,2016,65000,Diesel,Automatic,11,Ahmedabad
['Vento'],['Volkswagen'],Diesel Highline,2011,68000,Diesel,Manual,3.3,Ahmedabad
['Tiago'],['Tata'],1.2 Revotron XT,2019,38000,Petrol,Manual,4.9,Ahmedabad
['XF'],['Jaguar'],2.2 Litre Luxury,2016,47000,Diesel,Automatic,23.9,Ahmedabad
['i20'],['Hyundai'],Sportz 1.4 CRDi,2017,69000,Diesel,Manual,6.5,Ahmedabad
['Amaze'],['Honda'],S i-Dtech,2014,67000,Diesel,Manual,4.4,Ahmedabad
"['SX4', 'S', 'Cross']",['Maruti'],DDiS 200 Alpha,2016,62000,Diesel,Manual,5.9,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2014,62000,Diesel,Manual,4.75,Ahmedabad
['Fortuner'],['Toyota'],3.0 Diesel,2010,65000,Diesel,Manual,8.9,Ahmedabad
['City'],['Honda'],i DTEC V,2014,65000,Diesel,Manual,5.21,Ahmedabad
['Swift'],['Maruti'],Lxi BSIII,2009,75000,Petrol,Manual,2.65,Ahmedabad
['Micra'],['Nissan'],XV CVT,2014,77000,Petrol,Automatic,3.5,Ahmedabad
['Verna'],['Hyundai'],1.6 CRDi S,2016,56000,Diesel,Manual,6.21,Ahmedabad
['Verna'],['Hyundai'],1.6 CRDI,2012,77000,Diesel,Manual,4.3,Ahmedabad
['Swift'],['Maruti'],VDI,2014,93000,Diesel,Manual,4.1,Ahmedabad
['Xcent'],['Hyundai'],1.1 CRDi S,2014,51000,Diesel,Manual,3.9,Ahmedabad
['Magnite'],['Nissan'],Turbo XV Premium,2021,11000,Petrol,Manual,8.35,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC BSIV,2014,51000,Petrol,Manual,3.4,Ahmedabad
"['3', 'Series']",['BMW'],320d Luxury Line,2017,68000,Diesel,Automatic,25.9,Ahmedabad
"['3', 'Series']",['BMW'],320d,2012,68000,Diesel,Automatic,14.91,Ahmedabad
['Bolero'],['Mahindra'],SLE,2016,68000,Diesel,Manual,5.51,Ahmedabad
['Fortuner'],['Toyota'],2.8 2WD MT,2018,49000,Diesel,Manual,27,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VXI 1.2,2018,73000,Petrol,Manual,6.9,Ahmedabad
['Eeco'],['Maruti'],5 Seater AC BSIV,2017,29000,Petrol,Manual,3.85,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDi,2015,53000,Diesel,Manual,4.95,Ahmedabad
"['Figo', 'Aspire']",['Ford'],Titanium Diesel,2017,70000,Diesel,Manual,4.5,Ahmedabad
['Xylo'],['Mahindra'],E4 ABS BS IV,2012,75000,Diesel,Manual,3.64,Ahmedabad
['Polo'],['Volkswagen'],Diesel Comfortline 1.2L,2010,68000,Diesel,Manual,2.4,Ahmedabad
['Alto'],['Maruti'],LXi,2010,28000,Petrol,Manual,2.05,Ahmedabad
['Getz'],['Hyundai'],1.1 GVS,2009,61000,Petrol,Manual,1.75,Ahmedabad
"['Wagon', 'R']",['Maruti'],LXI,2008,68000,Petrol,Manual,1.9,Ahmedabad
['Sunny'],['Nissan'],Diesel XL,2014,73000,Diesel,Manual,3.45,Ahmedabad
['i20'],['Hyundai'],Sportz 1.4 CRDi,2014,89101,Diesel,Manual,3.1,Ahmedabad
"['Wagon', 'R']",['Maruti'],LXI,2007,95413,Petrol,Manual,0.95,Ahmedabad
['Ritz'],['Maruti'],VDi,2015,109479,Diesel,Manual,3.17,Ahmedabad
"['Wagon', 'R']",['Maruti'],VXI BS IV,2013,87187,Petrol,Manual,2.84,Ahmedabad
['Swift'],['Maruti'],VDI,2013,101952,Diesel,Manual,3.26,Ahmedabad
['Getz'],['Hyundai'],1.1 GVS,2009,61000,Petrol,Manual,1.75,Ahmedabad
"['Wagon', 'R']",['Maruti'],LXI,2008,68000,Petrol,Manual,1.9,Ahmedabad
['Sunny'],['Nissan'],Diesel XL,2014,73000,Diesel,Manual,3.45,Ahmedabad
"['KUV', '100']",['Mahindra'],mFALCON D75 K6,2016,55663,Diesel,Manual,2.79,Ahmedabad
['Swift'],['Maruti'],AMT VDI,2018,37383,Diesel,Automatic,5.9,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2015,48570,Diesel,Manual,4.86,Ahmedabad
['Ciaz'],['Maruti'],VDi Plus,2015,65243,Diesel,Manual,5.25,Ahmedabad
"['SX4', 'S', 'Cross']",['Maruti'],DDiS 320 Delta,2015,60428,Diesel,Manual,6.5,Ahmedabad
['i10'],['Hyundai'],Era,2011,76385,Petrol,Manual,2.75,Ahmedabad
['M-Class'],['Mercedes-Benz'],ML 250 CDI,2015,60000,Diesel,Automatic,30,Ahmedabad
['Creta'],['Hyundai'],1.6 SX Automatic Diesel,2018,81800,Diesel,Automatic,13.25,Ahmedabad
['Pulse'],['Renault'],RxL,2013,21764,Diesel,Manual,3.5,Ahmedabad
['i10'],['Hyundai'],Magna,2012,85000,Petrol,Manual,2.7,Ahmedabad
"['Grand', 'i10']",['Hyundai'],CRDi Sportz,2016,71000,Diesel,Manual,4.5,Ahmedabad
['XUV500'],['Mahindra'],W10 2WD,2015,89000,Diesel,Manual,8.91,Ahmedabad
"['Vitara', 'Brezza']",['Maruti'],VDi,2018,52793,Diesel,Manual,7.7,Ahmedabad
['Duster'],['Renault'],85PS Diesel RxS,2019,42000,Diesel,Manual,8.5,Ahmedabad
['Ameo'],['Volkswagen'],1.5 TDI Comfortline,2017,29000,Diesel,Manual,6,Ahmedabad
['Ciaz'],['Maruti'],Alpha 1.5,2019,31001,Diesel,Manual,9.25,Ahmedabad
['XUV500'],['Mahindra'],W8 2WD,2013,56000,Diesel,Manual,6.25,Ahmedabad
['Superb'],['Skoda'],Laurin & klement,2020,15981,Petrol,Automatic,32.75,Ahmedabad
['Fortuner'],['Toyota'],2.8 4WD AT,2017,74035,Diesel,Automatic,27.49,Ahmedabad
['City'],['Honda'],1.5 S MT,2011,78000,Petrol,Manual,4,Ahmedabad
['Verna'],['Hyundai'],1.6 SX CRDi (O),2013,70000,Diesel,Manual,4.51,Ahmedabad
['Innova'],['Toyota'],2.5 G4 Diesel 8-seater,2011,79000,Diesel,Manual,6.25,Ahmedabad
['Endeavour'],['Ford'],2.2 Titanium AT 4X2 Sunroof,2020,24000,Diesel,Automatic,31.5,Ahmedabad
['Terrano'],['Nissan'],XL,2014,55000,Petrol,Manual,4.75,Ahmedabad
"['Figo', 'Aspire']",['Ford'],1.5 TDCi Titanium,2017,68001,Diesel,Manual,6,Ahmedabad
['Venue'],['Hyundai'],SX Opt Turbo BSIV,2019,31492,Petrol,Manual,9.7,Ahmedabad
['Ecosport'],['Ford'],1.5 TDCi Titanium Plus BSIV,2016,52000,Diesel,Manual,5.8,Ahmedabad
['Enjoy'],['Chevrolet'],TCDi LS 7 Seater,2013,85693,Diesel,Manual,3.49,Ahmedabad
['Endeavour'],['Ford'],3.2 Titanium AT 4X4,2018,60000,Diesel,Automatic,31,Ahmedabad
['Hector'],['MG'],Sharp Diesel MT,2019,31500,Diesel,Manual,17.75,Ahmedabad
['Alto'],['Maruti'],LXi,2007,55632,Petrol,Manual,1.25,Ahmedabad
['Micra'],['Nissan'],Diesel XV,2011,67000,Diesel,Manual,2.25,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDi,2009,73000,Diesel,Manual,2.25,Ahmedabad
['Vento'],['Volkswagen'],Diesel Trendline,2012,63940,Diesel,Manual,3.51,Ahmedabad
['Innova'],['Toyota'],2.5 GX (Diesel) 7 Seater BS IV,2015,55000,Diesel,Manual,10,Ahmedabad
['Creta'],['Hyundai'],1.6 VTVT SX Plus,2018,27000,Petrol,Manual,11.5,Ahmedabad
['XUV500'],['Mahindra'],W6 2WD,2016,109000,Diesel,Manual,8.51,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VXI 1.2,2018,62348,Petrol,Manual,6.11,Ahmedabad
['Q7'],['Audi'],45 TDI Quattro Technology,2017,22000,Diesel,Automatic,58,Ahmedabad
['Figo'],['Ford'],Diesel Titanium,2014,55632,Diesel,Manual,2.7,Ahmedabad
['Ertiga'],['Maruti'],SHVS VDI,2016,69000,Diesel,Manual,6.91,Ahmedabad
['Creta'],['Hyundai'],1.4 E Plus,2017,50000,Diesel,Manual,8.75,Ahmedabad
['Etios'],['Toyota'],GD,2013,68000,Diesel,Manual,3.9,Ahmedabad
['Ciaz'],['Maruti'],RS ZDi Plus SHVS,2017,71000,Diesel,Manual,7.25,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDI,2019,55000,Diesel,Manual,7.25,Ahmedabad
['Etios'],['Toyota'],1.4 GD,2018,48000,Diesel,Manual,6.51,Ahmedabad
['City'],['Honda'],1.5 V MT Exclusive,2011,65000,Petrol,Manual,4.25,Ahmedabad
['Thar'],['Mahindra'],CRDe,2017,48000,Diesel,Manual,8.25,Ahmedabad
['Bolero'],['Mahindra'],DI BSIII,2018,74000,Diesel,Manual,5.65,Ahmedabad
['Innova'],['Toyota'],2.5 G4 Diesel 8-seater,2009,76000,Diesel,Manual,4,Ahmedabad
['Endeavour'],['Ford'],3.2 Titanium AT 4X4,2018,63000,Diesel,Automatic,28,Ahmedabad
"['Grand', 'i10']",['Hyundai'],1.2 CRDi Magna,2017,44200,Diesel,Manual,5.25,Ahmedabad
['Civic'],['Honda'],1.8 S MT,2009,51000,Petrol,Manual,3,Ahmedabad
['Etios'],['Toyota'],VD,2013,64000,Diesel,Manual,3.75,Ahmedabad
['Innova'],['Toyota'],2.5 VX (Diesel) 7 Seater,2013,91200,Diesel,Manual,7.76,Ahmedabad
['Fortuner'],['Toyota'],4x2 Manual,2012,82555,Diesel,Manual,12.51,Ahmedabad
['Creta'],['Hyundai'],1.6 VTVT AT SX Plus,2018,24000,Petrol,Automatic,13.49,Ahmedabad
['Creta'],['Hyundai'],SX Diesel AT,2020,12000,Diesel,Automatic,18.45,Ahmedabad
['i20'],['Hyundai'],Magna 1.4 CRDi,2017,52000,Diesel,Manual,5.75,Ahmedabad
"['A3', 'cabriolet']",['Audi'],40 TFSI Premium Plus,2015,10600,Petrol,Automatic,38.5,Ahmedabad
['XE'],['Jaguar'],2.0L Diesel Prestige,2019,20000,Diesel,Automatic,32.5,Ahmedabad
['Swift'],['Maruti'],AMT VXI,2020,13000,Petrol,Automatic,6.9,Ahmedabad
['Figo'],['Ford'],1.5D Titanium MT,2017,19000,Diesel,Manual,5.9,Ahmedabad
['Vento'],['Volkswagen'],1.0 TSI Highline Plus AT,2020,27000,Petrol,Automatic,11.75,Ahmedabad
['A4'],['Audi'],2.0 TDI 177 Bhp Technology Edition,2015,47000,Diesel,Automatic,18.5,Ahmedabad
"['3', 'Series']",['BMW'],320d Luxury Line,2020,12000,Diesel,Automatic,39,Ahmedabad
['Amaze'],['Honda'],VX AT i-Vtech,2016,28000,Petrol,Automatic,6.9,Ahmedabad
"['i20', 'Active']",['Hyundai'],1.4 S,2015,48250,Diesel,Manual,6.4,Ahmedabad
['XUV500'],['Mahindra'],W7,2020,17700,Diesel,Manual,13.9,Ahmedabad
['City'],['Honda'],i VTEC CVT VX,2016,37000,Petrol,Automatic,8.9,Ahmedabad
['Triber'],['Renault'],RXZ BSIV,2020,9331,Petrol,Manual,6.5,Ahmedabad
['City'],['Honda'],i DTEC V,2014,65000,Diesel,Manual,5.9,Ahmedabad
"['Swift', 'Dzire']",['Maruti'],VDi,2011,65000,Diesel,Manual,2.9,Ahmedabad
['EON'],['Hyundai'],D Lite Plus,2015,35400,Petrol,Manual,2.75,Ahmedabad
['XUV500'],['Mahindra'],W7 BSIV,2019,40000,Diesel,Manual,12.75,Ahmedabad
['XUV500'],['Mahindra'],W8 2WD,2012,83000,Diesel,Manual,5.9,Ahmedabad
['Hexa'],['Tata'],XM,2017,48700,Diesel,Manual,9.75,Ahmedabad
"['Grand', 'i10', 'Nios']",['Hyundai'],AMT Sportz,2019,5000,Petrol,Automatic,6.95,Ahmedabad
"['Alto', 'K10']",['Maruti'],LXI,2011,20000,Petrol,Manual,2.5,Ahmedabad
"['Vitara', 'Brezza']",['Maruti'],VDi,2019,34000,Diesel,Manual,8.6,Ahmedabad
['Laura'],['Skoda'],Ambition 2.0 TDI CR MT,2013,72000,Diesel,Manual,4.5,Ahmedabad
['E-Class'],['Mercedes-Benz'],E 220 CDI Avantgarde,2013,75000,Diesel,Automatic,16.5,Ahmedabad
['Polo'],['Volkswagen'],1.5 TDI Highline,2016,35000,Diesel,Manual,5.75,Ahmedabad
"['XC', '90']",['Volvo'],D5 Inscription,2020,37000,Diesel,Automatic,75,Ahmedabad
['City'],['Honda'],i VTEC V,2017,59000,Petrol,Manual,8.25,Ahmedabad
['Q7'],['Audi'],45 TDI Quattro Premium Plus,2016,77000,Diesel,Automatic,43,Ahmedabad
['X3'],['BMW'],xDrive 20d Luxury Line,2019,18000,Diesel,Automatic,54,Ahmedabad
